id,user_id,timestamp,neutral,happy,sad,angry,fearful,disgusted,surprised,page,engagement_score,engagement_level
109,97,2025-04-22 11:54:44,0.99597817659378,0.0040159383788705,4.4445478124e-06,4.8847621e-08,6.6821166e-09,2.295871e-09,1.5921777958e-06,/tantangan/penjumlahan-dua-angka,0.2991950570793208,Highly Engaged
110,97,2025-04-22 11:54:49,0.99999344348907,6.6093084569e-06,5.45313909e-08,1.4908768e-09,2.9e-15,1.678441e-10,2.61689869e-08,/tantangan/penjumlahan-dua-angka,0.2999986950188647,Highly Engaged
111,97,2025-04-22 11:54:54,0.99137163162231,2.71601479e-08,0.0071954494342208,0.0013931065332144,1.848178e-10,2.432730639e-07,3.95677343476e-05,/tantangan/penjumlahan-dua-angka,0.2969183320372107,Highly Engaged
112,97,2025-04-22 11:54:59,0.98294997215271,4.4744075e-09,0.015965171158314,0.001065390300937,4.85908e-11,5.88605821e-08,1.94284766621e-05,/tantangan/penjumlahan-dua-angka,0.2939831058239964,Highly Engaged
113,97,2025-04-22 11:55:04,0.99969691038132,0.0003031006781384,6.709266e-09,6.4193383e-09,8.68e-14,3.95494e-11,4.23474588e-08,/tantangan/penjumlahan-dua-angka,0.29993938855493674,Highly Engaged
123,97,2025-04-22 11:55:14,0.99995088577271,4.71991552331e-05,2.678418127e-07,6.31472616e-08,2.1386e-12,2.2015325e-09,1.5818195606e-06,/tantangan/penjumlahan-dua-angka,0.29999020310294927,Highly Engaged
124,97,2025-04-22 11:55:19,0.99991536140442,7.06114806234e-05,1.2131175708e-06,6.127545475e-07,9.04279e-11,6.2876952e-09,1.23001000247e-05,/tantangan/penjumlahan-dua-angka,0.29998339232058835,Highly Engaged
125,97,2025-04-22 11:55:24,1.9787e-11,1.0,4.8049e-12,2.95552e-10,9.3e-15,8.4594e-12,1.47992e-11,/tantangan/penjumlahan-dua-angka,0.09999999997793571,Disengaged
126,97,2025-04-22 11:55:29,1.44948771776e-05,0.99998497962952,2.918982033e-07,9.505082e-09,8.9759e-12,1.625672041e-07,9.90334925e-08,/tantangan/penjumlahan-dua-angka,0.10000283760555542,Engaged
127,97,2025-04-22 11:55:34,0.0014158068224788,0.9985488653183,1.37162523969e-05,3.14994892e-08,8.921318e-10,4.32849809e-08,2.16027819988e-05,/tantangan/penjumlahan-dua-angka,0.10028217769062929,Engaged
